Item;Category;Price;City;Region;Country
Broccoli stir fry mixture;Frozen; 0.89;Tornillo;Texas;United States
Beef/bean burrito;Frozen; 0.29;Graysville;Tennessee;United States
Celery;Produce; 0.99;Madrid;Distrito Capital;Colombia
Deluxe topping pizza;Frozen; 1.99;Hamburg;Illinois;United States
Belmont chocolate chip cookies;Snack; 1.49;Santiago del Estero;Santiago del Estero;Argentina
Applesauce cups (reg/cinnamon);Canned; 0.89;St Andrews;Scotland;United Kingdom
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Thousandsticks;Kentucky;United States
Sausage, brown/serve;Frozen; 0.99;Plymouth;Tobago;Trinidad and Tobago
Sausage, brown/serve;Frozen; 0.99;Elizabeth;New Jersey;United States
Wheat crackers (triscuit);Snack; 0.99;St Andrews;Scotland;United Kingdom
Celery;Produce; 0.99;Wellington;Wellington;New Zealand
Vegetarian vegetable condensed soup;Canned; 0.43;Seven Rivers;Westmoreland;Jamaica
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Trondheim;Sor-Trondelag;Norway
Beef/bean burrito;Frozen; 0.29;Douglas City;California;United States
Single serve fruit/gel bowls;Canned; 1.39;Meadowlands;Minnesota;United States
Broccoli stir fry mixture;Frozen; 0.89;Hamburg;Hamburg;Germany
Snack crackers (ritz);Snack; 1.29;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Plymouth;Tobago;Trinidad and Tobago
Bananas;Produce; 0.33;Gafsa;Qafsah;Tunisia
Peppers, tricolor pack;Produce; 1.99;North Grafton;Massachusetts;United States
Cucumber (large);Produce; 0.49;Roxborough;Tobago;Trinidad and Tobago
Tissues;Nonfoods; 0.89;Kyoto;Kyoto;Japan
Butter;Dairy; 1.99;Malone;New York;United States
Saltines;Snack; 0.69;Thousandsticks;Kentucky;United States
Sausage, brown/serve;Frozen; 0.99;Scarborough;Tobago;Trinidad and Tobago
Texas cheese toast;Frozen; 1.49;Helsinki;Etela-Suomen Laani;Finland
Snack crackers (ritz);Snack; 1.29;West Long Branch;New Jersey;United States
Saltines;Snack; 0.69;Amsterdam;Ohio;United States
Spoon size shredded wheat;Cereal; 1.69;Beijing;Beijing;China
Sweetener packets;Baking; 1.49;Jose Leon Suarez;Buenos Aires;Argentina
Rye bread, seeded;Baked goods; 0.99;Chicago;Illinois;United States
Texas cheese toast;Frozen; 1.49;Beijing;Beijing;China
Bananas;Produce; 0.33;Plymouth;Tobago;Trinidad and Tobago
Waffles;Frozen; 0.99;Graysville;Tennessee;United States
Butter;Dairy; 1.99;La Rochelle;Poitou-Charentes;France
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
L'Oven Fresh white bread;Baked goods; 0.59;Wallops Island;Virginia;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Chicago;Illinois;United States
Beef/bean burrito;Frozen; 0.29;New York;New York;United States
Cucumber (large);Produce; 0.49;Cogswell;North Dakota;United States
Broccoli stir fry mixture;Frozen; 0.89;Saratoga;North Carolina;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;West Long Branch;New Jersey;United States
Bananas;Produce; 0.33;Beaverton;Michigan;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Beaverton;Michigan;United States
Orange juice, not from concentrate;Dairy; 1.99;Ormond Beach;Florida;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Baking soda;Baking; 0.39;Wellington;Wellington;New Zealand
Mushrooms;Produce; 0.99;Elizabeth;New Jersey;United States
Baking soda;Baking; 0.39;Lone Pine;California;United States
Sweetener packets;Baking; 1.49;Saratoga;North Carolina;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Cushing;Texas;United States
Baking soda;Baking; 0.39;Amsterdam;Ohio;United States
L'Oven Fresh white bread;Baked goods; 0.59;Roxborough;Tobago;Trinidad and Tobago
Rye bread, seeded;Baked goods; 0.99;Cairo;Illinois;United States
Deluxe topping pizza;Frozen; 1.99;Venlo;Limburg;Netherlands
Peppers, tricolor pack;Produce; 1.99;Seven Rivers;Westmoreland;Jamaica
Tyson roasted chicken;Meat; 3.99;Jose Leon Suarez;Buenos Aires;Argentina
Single serve fruit/gel bowls;Canned; 1.39;Douglas City;California;United States
Saltines;Snack; 0.69;Saratoga;North Carolina;United States
Cheese, Colby brick;Dairy; 1.49;Sliema;Malta;Malta
Single serve peach cups;Canned; 1.39;Seven Rivers;Westmoreland;Jamaica
Sausage, brown/serve;Frozen; 0.99;Cairo;Illinois;United States
Waffles;Frozen; 0.99;Los Angeles;California;United States
Butter;Dairy; 1.99;Davos;Graubunden;Switzerland
Deluxe topping pizza;Frozen; 1.99;Finlayson;Minnesota;United States
Belmont chocolate chip cookies;Snack; 1.49;London;Ontario;Canada
L'Oven Fresh white bread;Baked goods; 0.59;Montpellier;Languedoc-Roussillon;France
Sausage, brown/serve;Frozen; 0.99;Las Vegas;Nevada;United States
Sausage, brown/serve;Frozen; 0.99;Port Elizabeth;New Jersey;United States
Peppers, tricolor pack;Produce; 1.99;Glendale;Arizona;United States
Single serve peach cups;Canned; 1.39;Crooks;South Dakota;United States
Butter;Dairy; 1.99;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Applesauce cups (reg/cinnamon);Canned; 0.89;San Francisco;California;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Victoria Falls;Matabeleland North;Zimbabwe
Vegetarian vegetable condensed soup;Canned; 0.43;Seven Rivers;Westmoreland;Jamaica
Pudding mix, choc/vanilla;Baking; 0.29;Cushing;Texas;United States
Beef/bean burrito;Frozen; 0.29;Elizabeth;New Jersey;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Graysville;Tennessee;United States
Beef/bean burrito;Frozen; 0.29;Cattaraugus;New York;United States
Sausage, brown/serve;Frozen; 0.99;Cairo;Illinois;United States
Peppers, green only;Produce; 1.39;Kyoto;Kyoto;Japan
Waffles;Frozen; 0.99;Stirling;Scotland;United Kingdom
Milk, 2%;Dairy; 2.69;Wallops Island;Virginia;United States
Sweetener packets;Baking; 1.49;Wallops Island;Virginia;United States
Texas cheese toast;Frozen; 1.49;Shanghai;Shanghai;China
Peppers, green only;Produce; 1.39;Franklin Springs;New York;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;West Long Branch;New Jersey;United States
Celery;Produce; 0.99;Port Elizabeth;New Jersey;United States
Celery;Produce; 0.99;Eau Galle;Wisconsin;United States
Rye bread, seeded;Baked goods; 0.99;North Grafton;Massachusetts;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Las Vegas;Nevada;United States
Potatoes, Russett;Produce; 0.89;Beijing;Beijing;China
Eggs, large;Dairy; 0.89;Beijing;Beijing;China
Potatoes, Russett;Produce; 0.89;Sliema;Malta;Malta
Single serve peach cups;Canned; 1.39;Thelma;Kentucky;United States
Belmont chocolate chip cookies;Snack; 1.49;Franklin Springs;New York;United States
Single serve peach cups;Canned; 1.39;Montpellier;Languedoc-Roussillon;France
Belmont chocolate chip cookies;Snack; 1.49;Beijing;Beijing;China
Butter;Dairy; 1.99;Barcelona;CataluÒa;Spain
Lettuce, iceberg;Produce; 0.89;Victoria Falls;Matabeleland North;Zimbabwe
Bananas;Produce; 0.33;Eau Galle;Wisconsin;United States
Pudding mix, choc/vanilla;Baking; 0.29;Victoria Falls;Matabeleland North;Zimbabwe
Butter;Dairy; 1.99;Desmet;Idaho;United States
Orange juice, not from concentrate;Dairy; 1.99;Bluff City;Kansas;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Fengjie;Sichuan;China
Sweetener packets;Baking; 1.49;North Grafton;Massachusetts;United States
Single serve fruit/gel bowls;Canned; 1.39;Sofia;Sofiya;Bulgaria
Milk, 2%;Dairy; 2.69;London;Ontario;Canada
Cucumber (large);Produce; 0.49;Elizabeth;New Jersey;United States
Vegetarian vegetable condensed soup;Canned; 0.43;St Andrews;Scotland;United Kingdom
Eggs, large;Dairy; 0.89;Malone;New York;United States
Larado paper plates;Nonfoods; 0.89;Glendale;Arizona;United States
Cucumber (large);Produce; 0.49;Thelma;Kentucky;United States
Baking soda;Baking; 0.39;Byron;New York;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Beaverton;Michigan;United States
Rye bread, seeded;Baked goods; 0.99;Montpellier;Languedoc-Roussillon;France
Sweetener packets;Baking; 1.49;Glendale;Arizona;United States
Cinnamon Grahams;Snack; 0.99;Sliema;Malta;Malta
Potatoes, Russett;Produce; 0.89;Holguin;Holguin;Cuba
Eggs, large;Dairy; 0.89;Cogswell;North Dakota;United States
Potatoes, Russett;Produce; 0.89;Haslev;Vestsjalland;Denmark
Pudding mix, choc/vanilla;Baking; 0.29;Glendale;Arizona;United States
Butter;Dairy; 1.99;Santiago;Santiago;Dominican Republic
Applesauce cups (reg/cinnamon);Canned; 0.89;Athens;Attiki;Greece
Peppers, green only;Produce; 1.39;Blountsville;Alabama;United States
Broccoli stir fry mixture;Frozen; 0.89;Campeche;Campeche;Mexico
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Chicago;Illinois;United States
Beef/bean burrito;Frozen; 0.29;Port Elizabeth;New Jersey;United States
Pudding mix, choc/vanilla;Baking; 0.29;London;Ontario;Canada
Baking soda;Baking; 0.39;Cushing;Texas;United States
Butter;Dairy; 1.99;Milano;Lombardia;Italy
Waffles;Frozen; 0.99;Port Elizabeth;New Jersey;United States
Eggs, large;Dairy; 0.89;Fengjie;Sichuan;China
Broccoli stir fry mixture;Frozen; 0.89;Santa Fe;Tennessee;United States
L'Oven Fresh white bread;Baked goods; 0.59;Thousandsticks;Kentucky;United States
Lettuce, iceberg;Produce; 0.89;Mount Hope;Ohio;United States
Belmont chocolate chip cookies;Snack; 1.49;Douglas City;California;United States
Deluxe topping pizza;Frozen; 1.99;San Francisco;California;United States
Peppers, green only;Produce; 1.39;Crooks;South Dakota;United States
Eggs, large;Dairy; 0.89;Amsterdam;Ohio;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Thelma;Kentucky;United States
Cheese, Colby brick;Dairy; 1.49;Prudence Island;Rhode Island;United States
Eggs, large;Dairy; 0.89;Chicago;Illinois;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Fengjie;Sichuan;China
Beef/bean burrito;Frozen; 0.29;Thelma;Kentucky;United States
Lettuce, iceberg;Produce; 0.89;North Grafton;Massachusetts;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Helsinki;Etela-Suomen Laani;Finland
Baking soda;Baking; 0.39;Prudence Island;Rhode Island;United States
Lettuce, iceberg;Produce; 0.89;Roma;Texas;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Mount Hope;Ohio;United States
Beef/bean burrito;Frozen; 0.29;Roma;Texas;United States
L'Oven Fresh white bread;Baked goods; 0.59;Franklin Springs;New York;United States
Celery;Produce; 0.99;Warsaw;Mazowieckie;Poland
Orange juice, not from concentrate;Dairy; 1.99;Fengjie;Sichuan;China
Saltines;Snack; 0.69;Athens;Attiki;Greece
Saltines;Snack; 0.69;Barcelona;CataluÒa;Spain
Pudding mix, choc/vanilla;Baking; 0.29;Gafsa;Qafsah;Tunisia
Snack crackers (ritz);Snack; 1.29;Kyoto;Kyoto;Japan
Cucumber (large);Produce; 0.49;Kent City;Michigan;United States
Eggs, large;Dairy; 0.89;Hechi;Guangxi;China
Potatoes, Russett;Produce; 0.89;Sofia;Sofiya;Bulgaria
Single serve fruit/gel bowls;Canned; 1.39;Port Harcourt;Rivers;Nigeria
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Kent City;Michigan;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Stirling;Scotland;United Kingdom
Peppers, tricolor pack;Produce; 1.99;Eau Galle;Wisconsin;United States
Snack crackers (ritz);Snack; 1.29;Thelma;Kentucky;United States
Potatoes, Russett;Produce; 0.89;Kyoto;Kyoto;Japan
Single serve peach cups;Canned; 1.39;New York;New York;United States
Sausage, brown/serve;Frozen; 0.99;Ormond Beach;Florida;United States
Larado paper plates;Nonfoods; 0.89;Warsaw;Mazowieckie;Poland
Potatoes, Russett;Produce; 0.89;Bangkok;Krung Thep Mahanakhon;Thailand
Butter;Dairy; 1.99;Elizabeth;New Jersey;United States
Cheese, Colby brick;Dairy; 1.49;Roxborough;Tobago;Trinidad and Tobago
Beef/bean burrito;Frozen; 0.29;Milano;Lombardia;Italy
Eggs, large;Dairy; 0.89;Rogersville;Alabama;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Port Elizabeth;New Jersey;United States
Single serve peach cups;Canned; 1.39;Venlo;Limburg;Netherlands
Wheat crackers (triscuit);Snack; 0.99;Greymouth;West Coast;New Zealand
Eggs, large;Dairy; 0.89;Port Elizabeth;New Jersey;United States
Larado paper plates;Nonfoods; 0.89;Helsinki;Etela-Suomen Laani;Finland
Sweetener packets;Baking; 1.49;Mount Hope;Ohio;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Helsinki;Etela-Suomen Laani;Finland
Cat litter, scoopable;Nonfoods; 2.99;Sofia;Sofiya;Bulgaria
L'Oven Fresh white bread;Baked goods; 0.59;West Long Branch;New Jersey;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Malone;New York;United States
Saltines;Snack; 0.69;Helsinki;Etela-Suomen Laani;Finland
Spoon size shredded wheat;Cereal; 1.69;Kent City;Michigan;United States
Potatoes, Russett;Produce; 0.89;Kent City;Michigan;United States
Saltines;Snack; 0.69;Molodesjnaja;Enderby Land;Antarctica
Vegetarian vegetable condensed soup;Canned; 0.43;Gafsa;Qafsah;Tunisia
Tissues;Nonfoods; 0.89;Hamburg;Illinois;United States
Beef/bean burrito;Frozen; 0.29;Victoria Falls;Matabeleland North;Zimbabwe
Applesauce cups (reg/cinnamon);Canned; 0.89;Sofia;Sofiya;Bulgaria
Snack crackers (ritz);Snack; 1.29;Jose Leon Suarez;Buenos Aires;Argentina
Cheese, Colby brick;Dairy; 1.49;Byron;New York;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Scarborough;Tobago;Trinidad and Tobago
Applesauce cups (reg/cinnamon);Canned; 0.89;Paris;Ile-De-France;France
Eggs, large;Dairy; 0.89;Marthaville;Louisiana;United States
Eggs, large;Dairy; 0.89;Venlo;Limburg;Netherlands
L'Oven Fresh white bread;Baked goods; 0.59;Cairo;Illinois;United States
Sausage, brown/serve;Frozen; 0.99;Jacksonville;Alabama;United States
Bananas;Produce; 0.33;Prudence Island;Rhode Island;United States
Beef/bean burrito;Frozen; 0.29;Barcelona;CataluÒa;Spain
Peppers, green only;Produce; 1.39;Cairo;Illinois;United States
Cucumber (large);Produce; 0.49;Trondheim;Sor-Trondelag;Norway
Applesauce cups (reg/cinnamon);Canned; 0.89;Milano;Lombardia;Italy
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Rogersville;Alabama;United States
Potatoes, Russett;Produce; 0.89;Campeche;Campeche;Mexico
Single serve peach cups;Canned; 1.39;Moscow;Moskva;Russia
Orange juice, not from concentrate;Dairy; 1.99;Wellington;Wellington;New Zealand
Baking soda;Baking; 0.39;London;Ontario;Canada
Vegetarian vegetable condensed soup;Canned; 0.43;Cogswell;North Dakota;United States
Peppers, tricolor pack;Produce; 1.99;Hamburg;Illinois;United States
Baking soda;Baking; 0.39;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Cucumber (large);Produce; 0.49;San Francisco;California;United States
Beef/bean burrito;Frozen; 0.29;Thousandsticks;Kentucky;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Cushing;Texas;United States
Saltines;Snack; 0.69;Stirling;Scotland;United Kingdom
Rye bread, seeded;Baked goods; 0.99;Jacksonville;Alabama;United States
Single serve fruit/gel bowls;Canned; 1.39;Graysville;Tennessee;United States
Snack crackers (ritz);Snack; 1.29;Vienna;Georgia;United States
Potatoes, Russett;Produce; 0.89;Chicago;Illinois;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Thelma;Kentucky;United States
Bananas;Produce; 0.33;La Rochelle;Poitou-Charentes;France
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Saratoga;North Carolina;United States
Peppers, tricolor pack;Produce; 1.99;Moscow;Moskva;Russia
Saltines;Snack; 0.69;Borden;Indiana;United States
Rye bread, seeded;Baked goods; 0.99;Vienna;Georgia;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Port Harcourt;Rivers;Nigeria
Deluxe topping pizza;Frozen; 1.99;Saratoga;North Carolina;United States
Sausage, brown/serve;Frozen; 0.99;Montpellier;Languedoc-Roussillon;France
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Bangkok;Krung Thep Mahanakhon;Thailand
Orange juice, not from concentrate;Dairy; 1.99;Hamburg;Hamburg;Germany
Rye bread, seeded;Baked goods; 0.99;Tornillo;Texas;United States
Tyson roasted chicken;Meat; 3.99;West Long Branch;New Jersey;United States
Cinnamon Grahams;Snack; 0.99;Lone Pine;California;United States
Beef/bean burrito;Frozen; 0.29;Hechi;Guangxi;China
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Las Vegas;Nevada;United States
Baking soda;Baking; 0.39;Chicago;Illinois;United States
Peppers, green only;Produce; 1.39;Cattaraugus;New York;United States
Broccoli stir fry mixture;Frozen; 0.89;Aalestrup;Nordjylland;Denmark
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Glendale;Arizona;United States
Wheat crackers (triscuit);Snack; 0.99;New York;New York;United States
Belmont chocolate chip cookies;Snack; 1.49;Fengjie;Sichuan;China
Waffles;Frozen; 0.99;La Rochelle;Poitou-Charentes;France
Beef/bean burrito;Frozen; 0.29;Cushing;Texas;United States
Baking soda;Baking; 0.39;New York;New York;United States
Mushrooms;Produce; 0.99;Jacksonville;Alabama;United States
Wheat crackers (triscuit);Snack; 0.99;Elizabeth;New Jersey;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;North Grafton;Massachusetts;United States
Milk, 2%;Dairy; 2.69;Meadowlands;Minnesota;United States
Belmont chocolate chip cookies;Snack; 1.49;Beijing;Beijing;China
Single serve fruit/gel bowls;Canned; 1.39;St Andrews;Scotland;United Kingdom
Saltines;Snack; 0.69;Hawkinsville;Georgia;United States
Saltines;Snack; 0.69;Madrid;Distrito Capital;Colombia
Lite drink mix (Crystal Lite);Beverages; 1.89;La Rochelle;Poitou-Charentes;France
Spoon size shredded wheat;Cereal; 1.69;Amsterdam;Ohio;United States
Larado paper plates;Nonfoods; 0.89;Santiago del Estero;Santiago del Estero;Argentina
Texas cheese toast;Frozen; 1.49;Seven Rivers;Westmoreland;Jamaica
Sausage, brown/serve;Frozen; 0.99;Rogersville;Alabama;United States
Sweetener packets;Baking; 1.49;Crooks;South Dakota;United States
Belmont chocolate chip cookies;Snack; 1.49;Desmet;Idaho;United States
Belmont chocolate chip cookies;Snack; 1.49;Wellington;Wellington;New Zealand
Broccoli stir fry mixture;Frozen; 0.89;Venlo;Limburg;Netherlands
Bananas;Produce; 0.33;Cologne;Nordrhein-Westfalen;Germany
Deluxe topping pizza;Frozen; 1.99;Prudence Island;Rhode Island;United States
Mushrooms;Produce; 0.99;Tokyo;Tokyo;Japan
Baking soda;Baking; 0.39;Seven Rivers;Westmoreland;Jamaica
Celery;Produce; 0.99;Tokyo;Tokyo;Japan
Lite drink mix (Crystal Lite);Beverages; 1.89;Port Harcourt;Rivers;Nigeria
Lite drink mix (Crystal Lite);Beverages; 1.89;Bluff City;Kansas;United States
Deluxe topping pizza;Frozen; 1.99;Trondheim;Sor-Trondelag;Norway
Peppers, green only;Produce; 1.39;Fengjie;Sichuan;China
Sausage, brown/serve;Frozen; 0.99;Wellington;Wellington;New Zealand
Texas cheese toast;Frozen; 1.49;Hechi;Guangxi;China
Snack crackers (ritz);Snack; 1.29;Kent City;Michigan;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Borden;Indiana;United States
Potatoes, Russett;Produce; 0.89;Franklin Springs;New York;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Meadowlands;Minnesota;United States
Potatoes, Russett;Produce; 0.89;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Single serve peach cups;Canned; 1.39;Bangkok;Krung Thep Mahanakhon;Thailand
Lettuce, iceberg;Produce; 0.89;Molodesjnaja;Enderby Land;Antarctica
Broccoli stir fry mixture;Frozen; 0.89;Bluff City;Kansas;United States
Mushrooms;Produce; 0.99;Roxborough;Tobago;Trinidad and Tobago
Cat litter, scoopable;Nonfoods; 2.99;Jerusalem;Yerushalayim  (Jerusalem);Israel
Milk, 2%;Dairy; 2.69;Amsterdam;Ohio;United States
Mushrooms;Produce; 0.99;Scarborough;Tobago;Trinidad and Tobago
Sweetener packets;Baking; 1.49;Jerusalem;Yerushalayim  (Jerusalem);Israel
Lite drink mix (Crystal Lite);Beverages; 1.89;Saratoga;North Carolina;United States
Vegetarian vegetable condensed soup;Canned; 0.43;Tokyo;Tokyo;Japan
Wheat crackers (triscuit);Snack; 0.99;Scarborough;Tobago;Trinidad and Tobago
Cinnamon Grahams;Snack; 0.99;St Andrews;Scotland;United Kingdom
Vegetarian vegetable condensed soup;Canned; 0.43;St Andrews;Scotland;United Kingdom
Snack crackers (ritz);Snack; 1.29;Cattaraugus;New York;United States
Tissues;Nonfoods; 0.89;Marthaville;Louisiana;United States
Pudding mix, choc/vanilla;Baking; 0.29;Meadowlands;Minnesota;United States
Deluxe topping pizza;Frozen; 1.99;Eau Galle;Wisconsin;United States
Peppers, tricolor pack;Produce; 1.99;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Bananas;Produce; 0.33;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Broccoli stir fry mixture;Frozen; 0.89;Sliema;Malta;Malta
Belmont chocolate chip cookies;Snack; 1.49;Sarajevo;Federation of Bosnia and Herzegovina;Bosnia and Herzegovina
Tissues;Nonfoods; 0.89;Santa Fe;Tennessee;United States
Pudding mix, choc/vanilla;Baking; 0.29;Tokyo;Tokyo;Japan
Deluxe topping pizza;Frozen; 1.99;Sofia;Sofiya;Bulgaria
Tyson roasted chicken;Meat; 3.99;Athens;Attiki;Greece
Larado paper plates;Nonfoods; 0.89;Roxborough;Tobago;Trinidad and Tobago
Celery;Produce; 0.99;Plymouth;Tobago;Trinidad and Tobago
Orange juice, not from concentrate;Dairy; 1.99;Cairo;Illinois;United States
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Victoria Falls;Matabeleland North;Zimbabwe
Waffles;Frozen; 0.99;Crooks;South Dakota;United States
Cat litter, scoopable;Nonfoods; 2.99;Davos;Graubunden;Switzerland
Wheat crackers (triscuit);Snack; 0.99;Cattaraugus;New York;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Campeche;Campeche;Mexico
Cheese, Colby brick;Dairy; 1.49;Hawkinsville;Georgia;United States
Lite drink mix (Crystal Lite);Beverages; 1.89;Tokyo;Tokyo;Japan
Tissues;Nonfoods; 0.89;Saratoga;North Carolina;United States
Pudding mix, choc/vanilla;Baking; 0.29;Cushing;Texas;United States
Orange juice, not from concentrate;Dairy; 1.99;Byron;New York;United States
Rye bread, seeded;Baked goods; 0.99;West Long Branch;New Jersey;United States
Bananas;Produce; 0.33;Venlo;Limburg;Netherlands
Wheat crackers (triscuit);Snack; 0.99;Holguin;Holguin;Cuba
Peppers, tricolor pack;Produce; 1.99;Cushing;Texas;United States
Wheat crackers (triscuit);Snack; 0.99;Las Vegas;Nevada;United States
Peppers, tricolor pack;Produce; 1.99;Roxborough;Tobago;Trinidad and Tobago
Snack crackers (ritz);Snack; 1.29;Greymouth;West Coast;New Zealand
Cheese, Feta, blue or gorgonzola tub;Dairy; 1.69;Mount Hope;Ohio;United States
Applesauce cups (reg/cinnamon);Canned; 0.89;Blountsville;Alabama;United States
Cheese, Deli style slices, Swiss, Provolone or Muenster;Dairy; 1.69;Greymouth;West Coast;New Zealand
Sausage, brown/serve;Frozen; 0.99;Desmet;Idaho;United States
Waffles;Frozen; 0.99;Byron;New York;United States
Tyson roasted chicken;Meat; 3.99;Franklin Springs;New York;United States
Eggs, large;Dairy; 0.89;Scarborough;Tobago;Trinidad and Tobago
Beef/bean burrito;Frozen; 0.29;Crooks;South Dakota;United States
Cookies, chocolate sandwich (Oreo);Snack; 0.99;Tokyo;Tokyo;Japan
